title,authors,categories,published_year,num_pages
Discover Your Destiny with the Monk Who Sold His Ferrari - The 7 Stages of Self-Awakening,Robin Sharma,Conduct of life,2004,240
Naked Lunch - The Restored Text,William S. Burroughs,Alienation (Social psychology),2005,289
Tropic of Cancer,Henry Miller,Fiction,2005,336
Close Range - Brokeback Mountain and Other Stories,Annie Proulx,Cowboys,2006,318
The Love of the Last Tycoon - The Authorized Text,F. Scott Fitzgerald,Fiction,1994,169
The Song of Rhiannon - The Third Branch of the Mabinogion,Evangeline Walton,Fiction,1992,208
Heart Songs and Other Stories,Annie Proulx,Fiction,1995,203
The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,1970,216
"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,1978,1425
The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,1986,499
"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,1982,172
Reason in History - A General Introduction to the Philosophy of History,Georg Wilhelm Friedrich Hegel,Philosophy,1953,95
The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,1979,85
The Presocratics,Philip Wheelwright,Philosophy,1966,352
Spandau - The Secret Diaries,Albert Speer,History,1976,463
The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of",1971,46
The Journey with Grandmother,Edith Unnerstad,Grandmothers,1960,197
Tyranny of the Majority - Funamental Fairness in Representative Democracy,Lani Guinier,History,1995,352
The Origins of the Civil Rights Movement,Aldon D. Morris,History,1986,368
Presidential Power and the Modern Presidents - The Politics of Leadership from Roosevelt to Reagan,Richard E. Neustadt,History,1991,384
"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,1978,32
Where the Red Fern Grows - The Story of Two Dogs and a Boy : with Connections,Wilson Rawls,Juvenile Fiction,2000,288
Poppy's Return,Avi,Juvenile Fiction,2006,256
Diary of a Spider,Doreen Cronin,Juvenile Fiction,2005,40
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,2005,32
The Paradox of Choice - Why More Is Less,Barry Schwartz,Business & Economics,2005,265
How to Read Literature Like a Professor - a Lively and Entertaining Guide to Reading Between the Lines,Thomas C. Foster,Literary Criticism,2003,314
The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,2001,256
The Wee Free Men,Terry Pratchett,Juvenile Fiction,2004,390
Going Postal - A Novel of Discworld,Terry Pratchett,Fiction,2004,377
Modern Mind - An Intellectual History of the 20th Century,Peter Watson,Science,2002,847
She Went All the Way,Meg Cabot,Fiction,2002,357
Island,Aldous Huxley,Fiction,1962,354
A Year in the Life of William Shakespeare - 1599,James Shapiro,Biography & Autobiography,2006,333
Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,2002,640
The Terminal Man,Michael Crichton,Fiction,2002,266
The Art of the Novel,Milan Kundera,Literary Criticism,2003,176
"The Bromeliad Trilogy - Truckers, Diggers, and Wings",Terry Pratchett,Juvenile Fiction,2003,502
"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2002,64
Identity - A Novel,Milan Kundera,Fiction,1998,176
The thief of always - a fable,Clive Barker,Fiction,1992,225
The Illustrated Alchemist - A Fable About Following Your Dream,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,1998,198
Mars and Venus Book of Days - 365 Inspriations to Enrich Your Relationships,John Gray,Family & Relationships,1998,368
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,1996,209
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,1998,40
The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,1981,104
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,1963,112
The Secret Garden Cookbook - Recipes Inspired by Frances Hodgson Burnett's THE SECRET GARDEN,Amy Cotler,Juvenile Nonfiction,1999,128
Laura's Album - A Remembrance Scrapbook of Laura Ingalls Wilder,William Anderson,Juvenile Nonfiction,1998,80
Quivers,Robin Quivers,African Americans in radio broadcasting,1995,341
Moonspinners,Mary Stewart,Fiction,2003,400
Small Wonder - Essays,Barbara Kingsolver,Literary Collections,2003,264
Worlds Enough & Time - Five Tales of Speculative Fiction,Dan Simmons,Fiction,2002,272
The Cheese Monkeys - A Novel in Two Semesters,Chip Kidd,Fiction,2002,288
Travels,Michael Crichton,Biography & Autobiography,2002,400
Caesar - A Novel,Colleen McCullough,Fiction,2003,928
The Forever War,Joe Haldeman,Fiction,2003,278
Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,2003,64
The Secret Sister,Elizabeth Lowell,Fiction,2005,416
Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,2005,64
Whirlpool,Elizabeth Lowell,Fiction,2006,448
"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,2004,64
Cryptonomicon,Neal Stephenson,Fiction,2002,1139
Falling Up - Poems and Drawings,Shel Silverstein,Juvenile Nonfiction,2002,178
Anansi Boys,Neil Gaiman,Fiction,2006,387
Fragile Things - Short Fictions and Wonders,Neil Gaiman,Fiction,2006,360
What Went Wrong? - The Clash Between Islam and Modernity in the Middle East,Bernard Lewis,History,2003,186
Letters from the Earth - Uncensored Writings,Mark Twain,Literary Criticism,2004,321
Savannah Blues - A Novel,Mary Kay Andrews,Fiction,2003,404
The Whipping Boy,Sid Fleischman,Juvenile Fiction,2003,90
The Innovator's Dilemma - The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,Business & Economics,2003,286
A Nose for Murder,Lee Charles Kelley,Fiction,2003,267
Happiness - A Novel,Will Ferguson,Fiction,2003,320
Size 12 Is Not Fat - A Heather Wells Mystery,Meg Cabot,Fiction,2006,345
Warrior of the Light - A Manual,Paulo Coelho,Fiction,2004,142
The Devil and Miss Prym - A Novel of Temptation,Paulo Coelho,Fiction,2006,205
"The Big Bing - Black Holes of Time Management, Gaseous Executive Bodies, Exploding Careers, and Other Theories on the Origins of the Business Universe",Stanley Bing,Business & Economics,2006,368
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,2003,417
Walt Whitman - A Life,Justin Kaplan,Biography & Autobiography,2003,464
How to Make Love Like a Porn Star - A Cautionary Tale,Jenna Jameson;Neil Strauss,Biography & Autobiography,2004,592
The Outsider,Richard Wright,Fiction,1953,672
1421 - The Year China Discovered America,Gavin Menzies,History,2004,650
The Andromeda Strain,Michael Crichton,Fiction,2003,327
Congo,Michael Crichton,Fiction,2003,442
Johnny and the Dead,Terry Pratchett,Juvenile Fiction,2006,213
Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,2003,96
The Girls of Lighthouse Lane #3 - Lizabeth's Story,Thomas Kinkade;Erika Tamar,Juvenile Fiction,2005,192
The Bradbury Chronicles - The Life of Ray Bradbury,Sam Weller,Biography & Autobiography,2006,384
Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,2005,240
The Wicked Day - Book Four of the Arthurian Saga,Mary Stewart,Fiction,2003,417
The Game - Penetrating the Secret Society of Pickup Artists,Neil Strauss,Biography & Autobiography,2005,464
"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,2004,48
Gold - The Final Science Fiction Collection,Isaac Asimov,Fiction,2003,416
The Kindness of Strangers,Katrina Kittle,Fiction,2007,400
Built to Last - Successful Habits of Visionary Companies,Jim Collins;Jerry I. Porras,Business & Economics,2004,368
